Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
44	0	-3295.37	-3300.35	4.97219	2.829609	0.1559304	0.0565524	0.103725	0.0248356	0.0972198	0.020803	0.0211787	0.0326104	0.047464	0.0128488	0.0117115	0.0937225	0.0196998	0.0261378	0.0407192	0.034547	-0.1206274	0.0131916	0.589314	0.00689839	0.00261531	0.383052	0.00492822	9.538252	0.1905011	-3.365434	7.53681e-05	0.0128143	0.259632	3.72748	0.279666	0.333155	0.124062	0.263117	0.06987366	2.726365
45	1	-3282.88	-3293.68	10.7921	2.184847	0.1840413	0.0156249	0.0238299	0.0673856	0.0785591	0.0313949	0.0191038	0.0107522	0.0452186	0.0400265	0.0424593	0.0303989	0.0284335	0.0163936	0.0274084	0.02651198	-0.1806207	0.0169679	0.514328	0.00569506	0.0113873	0.449011	0.00261017	12.87577	0.1985677	-3.630158	0.000291861	0.0251059	0.340744	3.63386	0.302088	0.298826	0.13075	0.268336	0.017947	11.06411
46	0	-3292.57	-3301.28	8.70501	2.725999	0.20516	0.04244	0.0759457	0.0364415	0.125206	0.0188325	0.0238733	0.0203673	0.0403208	0.0221232	0.0163875	0.0614251	0.0263551	0.020585	0.0424728	0.0295803	0.006293955	0.0118057	0.466595	0.00639801	0.0115898	0.502628	0.000983126	10.4321	0.01105498	-3.520647	0.000631933	0.0368043	0.39699	3.56557	0.311493	0.305458	0.142866	0.240183	0.01734894	0.6372137
47	1	-3294.41	-3302.88	8.47101	2.150175	0.159913	0.0374921	0.0344348	0.0527135	0.107599	0.0339724	0.0384209	0.01418	0.0540413	0.0133622	0.0566855	0.0239551	0.0285337	0.0187739	0.0323936	0.02487278	0.02990334	0.00669883	0.493192	0.0124893	0.00631451	0.475733	0.00557225	9.802414	0.00845217	-3.693981	9.39919e-05	0.0143019	0.271482	3.71412	0.285887	0.313916	0.125064	0.275133	0.03835551	0.2203639
48	0	-3284.34	-3297.08	12.7445	3.072846	0.1696175	0.0384315	0.0696187	0.0220911	0.0997723	0.0134143	0.0174827	0.0142632	0.0247681	0.0224032	0.0160995	0.0193961	0.0220297	0.0165011	0.00881118	0.02155428	0.128009	0.0105982	0.498006	0.00600916	0.0106137	0.474222	0.000551037	10.939	0.02569185	-3.837181	0.000154129	0.0182873	0.299907	3.68165	0.315385	0.301265	0.129167	0.254183	0.1537008	0.167155
49	1	-3288.58	-3300.51	11.9361	2.150175	0.1742131	0.0222156	0.0296564	0.0562209	0.0635922	0.0601425	0.0236218	0.0203473	0.042173	0.0464641	0.0218111	0.0270135	0.0261329	0.0154577	0.0112706	0.02792699	-0.02205684	0.00756869	0.571606	0.00583711	0.0112529	0.40034	0.00339531	11.96917	0.04515903	-3.578162	0.000191086	0.0203473	0.313114	3.66635	0.324947	0.302894	0.124779	0.24738	0.02310219	1.954751
50	0	-3291.01	-3302.29	11.2791	3.072846	0.1615657	0.0441507	0.0403284	0.0204648	0.0894139	0.0342348	0.024255	0.0104831	0.0331544	0.0373844	0.0192816	0.0192109	0.01254	0.013579	0.0158503	0.03162413	0.2296564	0.0118391	0.504677	0.00945394	0.0131786	0.457687	0.00316514	12.8752	0.006739753	-3.453835	0.000102683	0.0149449	0.27637	3.70858	0.260243	0.309661	0.145723	0.284373	0.2363962	0.02851042
51	1	-3293.61	-3300.15	6.54125	2.422175	0.1712236	0.0133899	0.0306003	0.0440076	0.108217	0.0689544	0.0344007	0.0454856	0.0280235	0.0770541	0.0258735	0.0269918	0.0313275	0.0393512	0.0216886	0.04227624	-0.364357	0.0123352	0.532439	0.00709057	0.0106285	0.430493	0.00701373	13.49869	0.4313826	-3.16353	0.00016637	0.0189949	0.304543	3.6763	0.294306	0.298409	0.141528	0.265757	0.06702554	6.436093
52	0	-3289.98	-3301.09	11.1055	3.234783	0.1576614	0.0366779	0.0417872	0.0222036	0.0666751	0.0588169	0.026221	0.0133539	0.0272132	0.0110619	0.033067	0.0222753	0.0156986	0.0101075	0.0223395	0.02235492	0.06040565	0.0102304	0.459517	0.00744547	0.00469474	0.514063	0.00404961	20.32112	0.005742722	-3.800709	8.30743e-05	0.0134501	0.264794	3.72167	0.324843	0.282678	0.135521	0.256959	0.06614837	0.08681577
53	1	-3287.78	-3298.11	10.3229	2.292974	0.152944	0.0167078	0.0276702	0.0408201	0.0945818	0.0569314	0.030049	0.05538	0.0212279	0.0167763	0.0196186	0.0264829	0.027375	0.0179215	0.0297956	0.03457255	-0.2096299	0.0106174	0.514443	0.00260907	0.0100814	0.459211	0.00303841	18.50751	0.3336885	-3.364695	6.33853e-05	0.0117566	0.250688	3.73749	0.281958	0.301857	0.140709	0.275476	0.1240586	2.689765
