Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
320	-3296.28	-3302.4	6.11981	2.954938	0.1682183	0.0221743	0.0127225	0.0353389	0.0518061	0.0212935	0.0459985	0.0700821	0.0500924	0.0580213	0.0274239	0.0243478	0.088176	0.110636	0.054533	0.04842448	-0.2676486	0.0160997	0.502495	0.00114141	0.00604363	0.461144	0.0130766	6.675304	0.2814463	-3.02775	0.000144028	0.0176818	0.295852	3.68632	0.320069	0.307505	0.124235	0.248191	0.01379772	20.39803
330	-3287.3	-3296.3	9.00353	2.590792	0.2075543	0.0350977	0.0252253	0.0541446	0.051196	0.0247377	0.0484439	0.0643264	0.0415361	0.0364474	0.0341668	0.0147495	0.0308361	0.0832084	0.0686745	0.03323335	-0.1236439	0.0182275	0.521396	0.000974552	0.00407409	0.446413	0.00891545	7.456406	0.2137421	-3.404201	0.000682947	0.0382441	0.403084	3.55799	0.29348	0.295885	0.143143	0.267492	0.09009824	2.372323
340	-3291.52	-3301.78	10.2647	2.780152	0.2035136	0.0293469	0.012818	0.0260447	0.034975	0.0224463	0.0731521	0.0559813	0.0600583	0.0215241	0.0341668	0.0200979	0.0883809	0.0992984	0.0722935	0.04045926	-0.08348093	0.012212	0.537442	0.00396397	0.00362566	0.420827	0.0219293	4.277786	0.09739081	-3.20746	0.000598447	0.0358268	0.392766	3.57081	0.301357	0.287196	0.13168	0.279767	0.01390988	7.001556
350	-3288.75	-3300.33	11.5777	2.85142	0.2361035	0.0310199	0.0264974	0.0379512	0.0395323	0.0235213	0.0692367	0.0539334	0.0518953	0.0268379	0.0277801	0.0295895	0.0779684	0.101733	0.0285408	0.03747174	0.0500911	0.016329	0.451326	0.00538396	0.00530896	0.516834	0.00481769	6.621564	0.002807133	-3.284168	0.00152613	0.0568542	0.47125	3.47037	0.298744	0.285404	0.145572	0.270281	0.05289823	0.05306668
360	-3287.22	-3300.19	12.9686	2.817644	0.196968	0.0348886	0.0217988	0.0301381	0.0531796	0.0270684	0.0449278	0.0358533	0.0175104	0.0312075	0.0176375	0.0176858	0.0252003	0.0228569	0.0661832	0.02870035	-0.3721916	0.019857	0.544885	0.000578153	0.00182699	0.409181	0.0236719	10.40137	0.3803272	-3.550846	0.000477634	0.0320448	0.375698	3.59178	0.276118	0.28378	0.13726	0.302842	0.008135523	46.74895
370	-3290.24	-3300.18	9.94371	2.902416	0.1613999	0.0177738	0.0135771	0.0301381	0.0628868	0.0220978	0.0602022	0.0442432	0.0129086	0.0158888	0.0386978	0.0157551	0.0294516	0.0325196	0.0779682	0.03542363	0.02936973	0.0115227	0.525098	0.000914835	0.0059109	0.432702	0.0238521	11.86226	0.03311089	-3.340376	0.000101784	0.0148797	0.27588	3.70914	0.306274	0.321892	0.131893	0.239941	0.06248062	0.5299386
380	-3288.67	-3300.42	11.7553	2.991666	0.1609871	0.0300055	0.0217111	0.0374503	0.0491954	0.0270877	0.0368119	0.0238726	0.0086193	0.0335815	0.0150103	0.0215151	0.0261164	0.0384349	0.0634485	0.03345774	-0.005569936	0.0120733	0.528302	0.00324365	0.00576499	0.436552	0.0140642	13.54946	0.1128056	-3.397472	9.95733e-05	0.0147181	0.274661	3.71052	0.280597	0.31184	0.12188	0.285683	0.1072357	1.051941
390	-3290.71	-3298.51	7.80266	3.02463	0.1548436	0.0367564	0.031811	0.0586771	0.0708041	0.0230574	0.055076	0.0396646	0.00837808	0.0309094	0.0136811	0.0174236	0.0241893	0.0269826	0.0609509	0.03510931	-0.2026792	0.0124874	0.460853	0.00629673	0.00207419	0.5084	0.00988844	17.80735	0.2484849	-3.349289	7.08204e-05	0.0124236	0.256383	3.73112	0.301633	0.294495	0.148	0.255872	0.04580562	5.424768
400	-3291.08	-3303.52	12.4432	3.02463	0.1650078	0.0130758	0.0207833	0.0348996	0.0438931	0.0235207	0.0294472	0.0243752	0.0190995	0.0276474	0.0353412	0.0173599	0.0310377	0.0296777	0.0183084	0.03055082	0.01027787	0.0068657	0.513577	0.00701711	0.00142538	0.45833	0.0127848	19.5127	0.2498924	-3.488364	0.000122747	0.0163314	0.28649	3.69706	0.28468	0.306734	0.141345	0.26724	0.2601703	0.9604956
410	-3292.91	-3301.9	8.98404	3.271105	0.1884389	0.0165195	0.0191931	0.037211	0.0374837	0.0310798	0.0249982	0.0310102	0.0466789	0.0174216	0.0882964	0.0215295	0.0481793	0.0277638	0.0088385	0.03949161	0.1148106	0.0065522	0.531541	0.0014914	0.0157172	0.437919	0.00677967	12.9171	0.0154982	-3.231667	0.000347738	0.0273834	0.352817	3.61945	0.296205	0.310017	0.129403	0.264374	0.1303088	0.1189344
