Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
33	1	-10.0055	0	-10.0055	24.31054	1.790295	0.038325	0.0928833	0.0650845	0.0360868	0.0860561	0.0516761	0.105527	0.0485214	0.0606925	0.251336	0.187839	0.0702424	0.0617946	0.117436	0.07831995	-0.06441378	0.0394323	0.163014	0.260445	0.020928	0.368318	0.147862	45.84452	0.1271877	-2.546953	0.266889	0.630685	1.06373	2.03869	0.479717	0.408088	0.0580053	0.0541896	0.06277389	2.026124
34	0	-1.11605	0	-1.11605	11.96443	1.880452	0.0358788	0.090602	0.04125	0.0104757	0.106113	0.0310584	0.0439606	0.0263199	0.0798079	0.00481476	0.0328317	0.0326797	0.0517342	0.0230749	0.028867	-0.03452043	0.147473	0.075859	0.400952	0.0257112	0.196152	0.153852	23.07712	0.06068743	-3.545056	0.278574	0.641668	1.06669	2.01307	0.0854723	0.0206483	0.682798	0.211082	0.026167	2.319235
35	1	-7.05714	0	-7.05714	5.892247	2.042971	0.061772	0.144428	0.0817378	0.0352654	0.0716953	0.0749429	0.154231	0.049922	0.11378	0.286223	0.197477	0.077195	0.0539245	0.0672021	0.09267595	0.00890822	0.00722317	0.173307	0.509621	0.0214898	0.203933	0.084426	12.74542	0.04360772	-2.378646	0.298351	0.659507	1.07103	1.97111	0.144288	0.378089	0.362689	0.114933	0.05251594	0.8303711
36	0	4.69581	0	4.69581	6.173208	2.044347	0.0385412	0.0460384	0.050536	0.0152903	0.0977539	0.0152951	0.0543425	0.0169948	0.0324477	0.00440237	0.0213414	0.0209041	0.0472433	0.013462	0.02624343	0.04005789	0.257489	0.0218526	0.127031	0.145527	0.247637	0.200463	15.49373	0.05868357	-3.64034	0.298512	0.659648	1.07106	1.97078	0.148039	0.0501978	0.0849871	0.716776	0.09874146	0.5943154
37	1	-9.8469	0	-9.8469	12.277	2.250005	0.0933741	0.140534	0.100455	0.0427003	0.0617621	0.0780341	0.19377	0.0525015	0.273712	0.205745	0.171693	0.0447904	0.0471763	0.16103	0.08791444	0.1757568	0.0115509	0.0962096	0.313499	0.0272114	0.375307	0.176222	19.21689	0.04248304	-2.431391	0.321397	0.679212	1.07515	1.92424	0.218705	0.207033	0.535295	0.0389671	0.2182399	0.1946621
38	0	4.10263	0	4.10263	5.585015	1.645075	0.0311732	0.0266707	0.0391256	0.0116447	0.0908967	0.0167747	0.0371341	0.0231064	0.0483919	0.00589923	0.0432125	0.0134868	0.0605564	0.0103157	0.02414194	0.01644152	0.134614	0.0110237	0.468825	0.0948686	0.1602	0.130468	37.80705	0.05779904	-3.723805	0.246889	0.611049	1.05792	2.08415	0.266926	0.45803	0.109955	0.165089	0.07424056	0.7785373
39	1	-14.9063	0	-14.9063	28.11749	2.458667	0.114144	0.231861	0.184944	0.133457	0.131859	0.145673	0.169775	0.0734609	0.199703	0.1738	0.0569216	0.0775852	0.0524636	0.187729	0.1204266	0.1107661	0.00878989	0.0700079	0.333174	0.0565853	0.514159	0.0172842	45.40051	0.03868887	-2.116714	0.342503	0.696337	1.07814	1.88302	0.0585285	0.31163	0.22013	0.409712	0.1494549	0.2588665
40	0	6.01582	0	6.01582	10.82338	1.913966	0.0294264	0.025234	0.0264107	0.0204995	0.102606	0.0144542	0.0224374	0.0498968	0.0550709	0.00678369	0.0394501	0.022827	0.0459382	0.00896414	0.02587302	0.01228831	0.0282672	0.0127057	0.34452	0.366765	0.118453	0.129289	12.45126	0.1251241	-3.654555	0.282784	0.645542	1.06768	2.00399	0.286792	0.17897	0.229518	0.304719	0.1374124	0.9105735
41	1	-20.9152	0	-20.9152	28.69537	2.388894	0.128491	0.276438	0.175418	0.0705558	0.11153	0.173338	0.109738	0.111105	0.209707	0.189565	0.0568181	0.137905	0.0575185	0.27579	0.1590971	0.00581734	0.00257351	0.0820931	0.443222	0.0322266	0.429481	0.0104035	40.21223	0.06151585	-1.838241	0.335663	0.690879	1.07725	1.89621	0.0506721	0.577352	0.159505	0.212471	0.06733319	0.9136037
42	0	6.41301	0	6.41301	5.731105	2.026611	0.0276828	0.0275661	0.0207858	0.0147947	0.117715	0.00975521	0.051082	0.0534498	0.0693393	0.0139699	0.0436257	0.0211698	0.0411003	0.00995602	0.02835853	0.2414205	0.0149446	0.0281352	0.124972	0.480162	0.173648	0.178138	11.87316	0.07733387	-3.562827	0.296431	0.657814	1.07064	1.97511	0.202092	0.470499	0.289071	0.0383373	0.3187544	0.2426127
