Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
430	-20.3491	0	-20.3491	11.12288	4.522397	0.19354	0.519065	0.28993	0.1694	0.169427	0.510975	0.116652	0.260423	0.111372	0.115607	0.23525	0.185072	0.316502	0.340941	0.2231704	-0.1808631	0.11657	0.223329	0.0604179	0.231138	0.0744642	0.294081	21.31008	0.1845091	-1.49982	0.480944	0.791535	1.08402	1.6435	0.407621	0.0638355	0.0128725	0.515671	0.003645993	50.60598
440	-29.651	0	-29.651	11.5709	4.060068	0.134509	0.765348	0.159692	0.317464	0.137194	0.434346	0.174206	0.323389	0.146315	0.123151	0.580302	0.27831	0.398294	0.28726	0.1756915	-0.196412	0.110014	0.26892	0.0788603	0.255323	0.0809583	0.205923	32.03417	0.1989826	-1.739026	0.457632	0.777261	1.08439	1.68072	0.449948	0.128263	0.11339	0.308399	0.002570608	77.40685
450	-30.4735	0	-30.4735	12.64072	4.662399	0.118993	0.579287	0.144094	0.280064	0.0773166	0.631745	0.119334	0.281445	0.0935036	0.165582	0.959229	0.205851	0.303886	0.307876	0.1833106	-0.09638251	0.137235	0.0857294	0.168531	0.113453	0.150697	0.344355	19.03017	0.09899384	-1.696574	0.487422	0.795394	1.08384	1.63335	0.341824	0.0461726	0.191801	0.420203	0.002611331	37.90934
460	-28.1552	0	-28.1552	15.35533	3.761538	0.274268	1.22944	0.302466	0.410121	0.0776907	0.438927	0.140782	0.288075	0.0961884	0.22052	0.577206	0.152097	0.270173	0.197496	0.2331234	-0.09219214	0.176296	0.248617	0.13204	0.0609593	0.118838	0.263249	18.93574	0.09574244	-1.456188	0.440763	0.766537	1.08436	1.70834	0.214528	0.477344	0.0807095	0.227419	0.003550297	26.96745
470	-28.6225	0	-28.6225	18.56831	3.4491	0.222213	0.830291	0.620778	0.235702	0.0716291	0.348876	0.205987	0.336111	0.219082	0.125457	0.340878	0.199926	0.321043	0.367558	0.245043	-0.06605467	0.26577	0.150489	0.168078	0.0555882	0.121422	0.238653	23.27918	0.08999579	-1.406322	0.421275	0.753708	1.08399	1.74103	0.06123	0.0873423	0.591028	0.2604	0.02394112	3.759047
480	-27.9284	0	-27.9284	14.08963	3.187912	0.139969	0.878336	0.400679	0.190919	0.0991101	0.30869	0.199231	0.304953	0.240154	0.219328	0.641188	0.183241	0.24416	0.498844	0.2010673	-0.02284605	0.207201	0.125287	0.155004	0.0522778	0.113389	0.346841	23.14332	0.04299254	-1.604115	0.403296	0.741429	1.0833	1.77198	0.298113	0.131435	0.0853956	0.485057	0.02014648	2.133997
490	-33.2864	0	-33.2864	28.58325	3.834975	0.352186	0.583949	0.473575	0.251727	0.154546	0.295782	0.217682	0.401651	0.209159	0.240411	0.493925	0.228079	0.419713	0.757934	0.4094461	0.004352445	0.157943	0.102164	0.118733	0.0656452	0.0803587	0.475156	33.47145	0.03118355	-0.89295	0.44506	0.769302	1.08439	1.70125	0.0658991	0.41779	0.223837	0.292475	0.035536	0.8775201
500	-33.2464	0	-33.2464	30.08522	4.154225	0.506015	0.813113	0.30476	0.198133	0.149779	0.195586	0.323752	0.663293	0.239593	0.334129	0.22215	0.419658	0.523372	0.358072	0.3315838	-0.0201416	0.149188	0.128576	0.132329	0.0969017	0.0529394	0.440065	36.47391	0.04093906	-1.103875	0.462639	0.780379	1.08435	1.67264	0.0932859	0.0952068	0.633378	0.178129	0.02079746	1.968464
510	-34.22	0	-34.22	47.2631	4.195693	0.41549	0.661041	0.258643	0.191678	0.110028	0.130196	0.218966	0.773275	0.165858	0.391714	0.242744	0.478679	0.357281	0.512288	0.2742603	-0.01656267	0.184597	0.15128	0.346083	0.0816609	0.0428852	0.193493	48.52179	0.03512438	-1.293678	0.4648	0.781716	1.08432	1.66916	0.257039	0.00697524	0.184468	0.551518	0.01856172	1.892303
520	-29.0551	0	-29.0551	11.51267	3.434866	0.336381	0.821384	0.296014	0.254185	0.0803118	0.0730397	0.252534	0.446649	0.196121	0.465935	0.252997	0.348664	0.390262	0.475031	0.2544234	0.02306861	0.205696	0.236958	0.0716263	0.36825	0.0147734	0.102696	25.15669	0.02559786	-1.368755	0.420337	0.753079	1.08396	1.74263	0.11489	0.0606858	0.389994	0.434431	0.04866647	0.5259856
530	-19.3823	0	-19.3823	8.654688	3.637876	0.276132	0.395229	0.187217	0.192034	0.10702	0.138782	0.259199	0.229958	0.14518	0.427065	0.294224	0.150491	0.278138	0.60368	0.2784803	0.02296823	0.227638	0.181296	0.0729621	0.201432	0.0594382	0.257234	10.19309	0.037774	-1.278408	0.433291	0.761676	1.08426	1.72078	0.330949	0.0180386	0.287497	0.363515	0.06074223	0.6218738
540	-16.3744	0	-16.3744	6.241931	3.029371	0.228183	0.245292	0.178578	0.311547	0.326363	0.140631	0.2921	0.189021	0.285158	0.625688	0.198198	0.158073	0.229576	0.28419	0.1934361	-0.01424664	0.413582	0.121056	0.0263572	0.294827	0.0400465	0.104132	8.73105	0.033231	-1.642808	0.391521	0.733141	1.08266	1.79268	0.272586	0.00451173	0.0612112	0.661691	0.01898435	1.750441
550	-11.4816	0	-11.4816	1.814528	3.073861	0.227058	0.223904	0.219724	0.549293	0.251838	0.108037	0.184806	0.258731	0.183993	0.6077	0.256578	0.168675	0.324792	0.168264	0.2547722	0.04077287	0.434463	0.0591832	0.0478279	0.296936	0.0897135	0.0718765	3.314405	0.02029979	-1.367385	0.394896	0.735537	1.08286	1.78671	0.125298	0.00525852	0.0741929	0.79525	0.06107266	0.3323875
560	-11.6354	0	-11.6354	1.413675	2.604571	0.201084	0.224628	0.324544	0.261934	0.18873	0.0846242	0.192137	0.226663	0.322581	0.319306	0.253907	0.431228	0.615905	0.155073	0.2599488	-0.004589065	0.190623	0.355001	0.0918929	0.212384	0.0299844	0.120115	3.019707	0.04333025	-1.347271	0.356152	0.706982	1.07972	1.85714	0.126845	0.0541465	0.508431	0.310578	0.03874119	1.118454
570	-16.1379	0	-16.1379	2.334225	2.632808	0.23938	0.215006	0.113256	0.151497	0.139951	0.102088	0.22241	0.367857	0.289374	0.345121	0.422961	0.432696	0.76745	0.196591	0.205169	0.1147909	0.125919	0.250044	0.153243	0.360612	0.0124551	0.0977259	3.674095	0.03867449	-1.583921	0.358697	0.708932	1.07999	1.85238	0.0522496	0.150901	0.0627409	0.734108	0.1534653	0.2520079
580	-15.8814	0	-15.8814	2.139693	2.571786	0.311171	0.294007	0.147613	0.246021	0.168815	0.0995594	0.41665	0.41669	0.235609	0.536256	0.442411	0.176517	0.899158	0.272142	0.2710963	0.01358679	0.0418982	0.59287	0.143193	0.130252	0.00589227	0.0858939	2.88554	0.04008179	-1.305281	0.353159	0.704675	1.0794	1.86277	0.30149	0.166531	0.154896	0.377083	0.05366857	0.7468391
